0.005,11.0
0.01,3.2
0.015,3.1
0.02,1.6
0.025,1.5
0.03,1.6
0.035,3.1
0.04,1.6
0.045,1.6
0.05,0.0
0.055,1.5
0.06,4.8
0.065,1.5
0.07,1.6
0.075,3.1
0.08,1.6
0.085,1.6
0.09,1.5
0.095,1.6
0.1,1.6
0.105,1.5
0.11,0.0
0.115,1.6
0.12,2.0
0.125,1.1
0.13,1.6
0.135,1.6
0.14,1.5
0.145,1.6
0.15,0.0
0.155,2.6
0.16,0.6
0.165,1.5
0.17,1.6
0.175,1.5
0.18,1.6
0.185,1.6
0.19,1.6
0.195,1.5
0.2,1.6
0.205,1.6
0.21,0.0
0.215,1.5
0.22,1.6
0.225,2.2
0.23,0.9
0.235,1.6
0.24,1.6
0.245,1.5
0.25,0.0
0.255,1.6
0.26,1.6
0.265,1.6
0.27,1.5
0.275,1.6
0.28,1.7
0.285,0.5
0.29,4.4
0.295,1.2
0.3,1.6
0.305,1.6
0.31,1.5
0.315,0.0
0.32,1.6
0.325,2.5
0.33,0.6
0.335,1.6
0.34,1.6
0.345,1.5
0.35,0.0
0.355,1.6
0.36,1.6
0.365,1.5
0.37,1.6
0.375,1.5
0.38,1.6
0.385,0.0
0.39,1.6
0.395,1.5
0.4,2.2
0.405,1.0
0.41,1.5
0.415,0.0
0.42,1.6
0.425,1.6
0.43,1.5
0.435,1.6
0.44,1.6
0.445,0.0
0.45,1.6
0.455,2.4
0.46,0.7
0.465,1.6
0.47,1.5
0.475,0.0
0.48,1.8
0.485,1.4
0.49,1.6
0.495,1.5
0.5,1.6
0.505,0.0
0.51,1.5
0.515,2.5
0.52,0.7
0.525,1.6
0.53,1.5
0.535,0.0
0.54,1.6
0.545,1.6
0.55,1.5
0.555,1.6
0.56,1.6
0.565,1.5
0.57,1.6
0.575,0.0
0.58,1.6
0.585,1.5
0.59,2.1
0.595,1.1
0.6,1.6
