size,Ordered,Reverse,Partial,Random
200,1.27123,1.63522,1.0450599999999999,0.8352700000000001
400,0.70001,1.1011799999999998,0.82363,0.81185
1200,0.6836,1.5694599999999999,0.97705,1.1022500000000002
4800,0.58209,4.84352,1.21378,2.96992
24000,0.57935,21.021440000000002,2.81807,9.500029999999999
